Sample,Cocaine Results,Benzoylecgonine Results,MDMA Results,MDA Results,Cocaethylene Results
Data File,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.
B_CUT_OFF,0.478989197944842,1.77934808626118,0.101702480926019,0.173715353593925,1.20245199090293
BCAL_1,1.2602116203528,2.48295458286156,0.935440096926098,0.681284747210948,1.79483202551003
BCAL_2,4.31503339626023,4.77625174292785,4.51916628912014,4.79935738136741,4.9808758929067
BCAL_3,9.48145955218194,11.1251347603656,10.8231700815254,10.7713887863408,10.2944819517294
BCAL_4,17.4286464384126,17.912465389732,19.282885100553,18.1255096106406,19.1363947785137
BCAL_5,39.4866272753124,41.3290134707679,43.2009716104553,43.2333889431813,40.9303317247037
BCAL_6,64.7249927772052,61.2416126806758,61.2020645412153,70.1487733819128,59.6579156521465
BCAL_7,79.3030289402748,78.6155219555308,75.9717423771307,78.0703552784698,64.9701470585229
BQC_1A_Start,6.14588971842928,6.9969882184327,6.39377973532449,5.6437400222316,5.91781422565459
BQC_1B_Start,6.22562813742555,7.19020310967746,5.22810292287148,5.15515534349878,6.84287812978147
BQC_2A_Start,36.8464688476861,44.5929386350218,38.5318337097969,39.7647305009866,37.132995592566
BQC_2B_Start,35.6295732326704,37.9932322174808,37.8793601619835,40.1980332661059,38.0965640417488
BQC_3A_Start,79.6493595684363,69.8209896181871,69.2632920681536,83.3125658088054,60.2657410327786
BQC_3B_Start,69.8312067841001,69.5872484174318,61.9173535571289,79.9460017317493,73.2644424547534
Blank Blood Sample,,1.66244213591924,0,0,
BQC_1A_End,7.34450000000000,6.85306505129438,5.16349968666121,3.87445060071762,6.59566009444468
BQC_1B_End,6.28339587101238,6.79006882376845,5.93999775247265,3.55193010854507,6.68021674662166
BQC_2A_End,35.4081827027304,36.3166254823127,36.9966936249925,31.2886304197742,34.5273585558626
BQC_2B_End,35.4705608343835,41.8796848754268,33.6789290167405,32.3573389906803,37.6860794510741
BQC_3A_End,66.3690198710362,71.0445983189325,71.1899449514032,62.6119119575256,55.4836723211012
BQC_3B_End,100.4544340000000,102.4544340000000,61.4528818474282,62.2219011244356,56.1775816015718